,job_role,filing,salaries,date_posted,needed_date_range,location,posting_url
0,Implementation Engineer,6356405,$138369 ,"March 12, 2022",03-25-2022 to 03-24-2025,"Beaverton, OR",https://app-post.net/index.php/notice-of-filing-c6356405/
1,Software Development Engineer,6399736,$165000 ,"March 12, 2022",03-21-2022 to 03-20-2025,"Cupertino, CA and San Diego, CA",https://app-post.net/index.php/notice-of-filing-6399736/
2,Engineering Project Manager,6333001,$163958 ,"March 12, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and Austin, TX",https://app-post.net/index.php/notice-of-filing-c6333001/
3,Engineering Project Manager,6333001,$158814 ,"March 12, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and Austin, TX",https://app-post.net/index.php/nof-c6333001/
4,Software Development Engineer – Systems,6244888,$186010 ,"March 11, 2022",3-14-2022 to 3-13-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6244888-2/
5,Production Services Engineer ,6225747,$191805 ,"March 11, 2022",09-10-2022 to 9-09-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225747/
6,Software Development Engineer – Firmware,6198498,$180900 ,"March 11, 2022",9-16-2022 to 9-15-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6198498/
7,Software Development Engineer – Firmware,6198458,$120224 ,"March 11, 2022",3-25-2022 to 3-24-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6198458/
8,Software Development Engineer – Firmware ,6198400,$108202 ,"March 11, 2022",9-10-2022 to 9-09-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6198400/
9,Software Development Engineer- Applications,6198394,$184575 ,"March 11, 2022",9-6-2022 to 9-5-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6198394/
10,Engineering Project Manager ,6191863,$154893 ,"March 11, 2022",9-6-2022 to 9-5-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6191863/
11,Software Development Engineer – Systems,6172461,$219017 ,"March 11, 2022",9-9-2022 to 9-8-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6172461/
12,Maps Analyst ,6172173,$156375 ,"March 11, 2022",9-8-2022 to 9-7-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6172173/
13,Product Management,6156800,$170280 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156800/
14,Software Development Engineer – Systems,6156794,$205700 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156794/
15,Software Development Engineer,6156793,$177000 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156793/
16,ASIC Design Engineer,6156784,$135000 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6156784/
17,Product Quality Engineer,6152210,$155940 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152210/
18,Software Development Engineer – Applications,6152186,$261750 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152186/
19,Systems Design Engineer,6152172,$181953 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152172/
20,Software Development Engineer – Applications,6152149,$197000 ,"March 11, 2022",9-1-2022 to 8-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6152149/
21,Software Development Engineer – Applications,6131065,$145010 ,"March 11, 2022",8-19-2022 to 8-18-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6131065/
22, Software Development Engineer – Firmware,6199308,$148641 ,"March 11, 2022",9-5-2022 TO 9-4-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6199308/
23,Machine Learning<br/>Engineer (Software Engineer),----,$134698.00 ,"March 11, 2022",3-14-2022 to 3-13-2025,"San Diego , CA",https://app-post.net/index.php/notice-of-filing-wegrzynski-michal/
24,Software Development Engineer – Test,6389825,$140000 ,"March 11, 2022",3-21-2022 to 3-20-2025,"San Diego, CA and Excelsior, MN",https://app-post.net/index.php/notice-of-filing-6389825/
25,Reliability Engineer,6402349,$165000 ,"March 11, 2022",3-21-2022 to 3-20-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6402349/
26,Human Factors Design Engineer,6393017,$145000 ,"March 11, 2022",3-21-2022 to 3-20-2025,"Jersey City, NJ and East Stroudsburg, PA",https://app-post.net/index.php/noticeoffiling-c6393017/
